author,qtd_livros,media_nota,desvio_nota,ano_medio,cluster
michael j. rosen,8,4.22,3.54,1999,1
michael teitelbaum,53,1.49,2.49,1995,0
molly bang,8,3.63,3.19,1989,1
nigel blundell,7,2,3.46,1990,1
nomi eve,3,2.8,1.91,2001,3
peg kehret,23,2.31,2.97,1997,1
penny black,3,6.67,2.08,1991,1
rebecca wade,3,0,0,2000,3
richard dooling,11,2.05,2.89,1996,3
rita dove,6,3.29,3.17,1993,1
rob kean,3,3.37,1.52,1999,3
robert d. san souci,17,3.41,3.94,1995,1
robert pirsig,4,4.86,2.62,1990,1
robin lee hatcher,37,1.79,2.79,1996,0
sandi kahn shelton,4,5.88,2.32,1999,1
sandy boucher,4,4.69,4.13,1993,1
sara george,3,1.67,2.89,2001,3
sarah woodhouse,6,0,0,1991,3
stephen r. covey,23,2.14,1.83,1995,3
susan bowes,3,3.27,2.83,1999,1
susan howatch,35,1.67,2.32,1990,0
susan mallery,59,2.26,2.53,2000,0
"susan, ph.d. jeffers",3,2.67,4.62,1994,1
suzanne berne,4,2.63,1.12,2000,3
suzanne robinson,12,1.78,2.96,1997,3
t. greenwood,4,2.15,2.48,2001,3
thomas f. monteleone,10,1.45,1.74,1994,3
tom robbins,35,3.85,1.9,1990,0
tony kornheiser,3,2.22,2.55,1998,3
trisha malcolm,5,6.93,2.39,2000,1
william l. shirer,8,1.8,3.47,1990,1
william m. gaines,3,2,3.46,1993,1
william styron,19,1.75,1.94,1990,3
winifred madison,3,0,0,1981,3
sam donaldson,3,1.94,2.68,1987,3
andy rector,6,0.83,2.04,1996,3
angela shelf medearis,12,1.06,1.96,1997,3
beardstown ladies investment club,4,0.84,0.72,1996,3
benjamin von stuckrad-barre,6,2.47,1.67,2002,3
brian gallagher,3,0.91,1.57,2001,3
carolyn sherwin bailey,3,4.83,5.01,1980,1
charles fort,3,3.11,2.71,1992,1
charles gordon,3,2.33,4.04,1999,1
charles neider,4,1.08,1.26,1991,3
chet raymo,5,4.67,3.16,1991,1
christopher frayling,3,5.5,2.78,1990,1
connie bennett,11,0.81,1.5,1994,3
craig thomas,34,1.74,2.23,1989,0
david cannadine,3,1.67,2.89,1997,3
david j. skal,5,3.6,4.98,2000,1
diane schoemperlen,9,1.26,1.27,1999,3
disney studios,3,3.03,1.76,1985,3
douglas kennedy,13,3.23,3.31,1998,1
eleanor porter,4,4.65,0.62,1995,3
elizabeth daly,14,3.96,2.93,1984,1
else ury,4,0,0,1993,3
evan maxwell,4,3.64,3.86,1997,1
evelyn tribole,3,0,0,1996,3
first glance books,5,1.2,2.68,1996,3
friedrich durrenmatt,6,1.63,3.2,1992,3
harold courlander,5,4.47,4.81,1992,1
hugh lofting,14,1.37,2.44,1991,3
ilene cooper,3,0,0,1992,3
j. v. jones,13,3.23,2.97,1998,1
james grippando,17,2.28,2.12,2001,3
james reasoner,5,1.6,3.58,1999,1
jean greenhowe,3,2.83,2.57,1983,3
jennie nash,4,4.38,3.54,1999,1
jeremy narby,3,2.67,2.31,1999,1
jill murphy,15,3.89,3.84,1996,1
jim becker,3,6.5,4.44,1994,1
joan dahr lambert,3,4.49,2.25,1998,1
john gross,3,9,1.73,1995,1
john hogue,4,6,4.08,1994,1
john kenneth galbraith,12,2.33,3.52,1986,1
john treadwell nichols,7,2.55,2.58,1992,3
joseph e. persico,4,0.58,1.17,1991,3
josie litton,8,2.86,0.79,2002,3
karen hawkins,8,2.15,1.06,2002,3
kate waters,5,5,5,1994,1
leroy thompson,3,6,5.29,1991,1
luis valdez,3,5.11,5,1985,1
lynn mason,4,2.87,1.01,2001,3
lynn reiser,3,1.5,2.6,1997,3
malcolm lowry,3,4.33,4.51,1997,1
mandalyn kaye,5,1.36,2.18,1997,3
maryanne raphael,3,3.33,5.77,2000,1
matt wagner,4,8,1.15,1995,1
michael marshall smith,6,4.78,3.97,1999,1
nanci kincaid,4,1,2,1999,3
olivia goldsmith,36,2.02,1.82,1998,0
patrick mcgrath,14,2.76,2.36,1997,1
patti berg,12,1.84,1.16,2000,3
paula boock,3,6.67,2.08,1998,1
phyllis richman,5,2.35,1.3,1999,3
poul anderson,99,2.24,2.95,1989,0
r. chetwynd-hayes,3,3.67,3.51,1983,1
ralph keyes,5,9.2,1.1,1992,1
randy wayne white,17,3.23,3.25,1999,1
raymond queneau,10,4.33,4.06,1984,1
richard scarry,97,2.13,2.95,1989,0
richard stark,10,3.95,4.34,2000,1
robert j. sternberg,3,8,1,1996,1
robert m. eversz,3,4.11,1.54,1999,1
rosalie ash,4,1.94,2.35,1999,3
ruth hamilton,10,1.17,2.29,2001,3
sol gordon,6,2.72,2.35,1990,3
sten nadolny,10,3.18,2.77,1995,1
steve metzger,10,2.34,2.04,1998,3
susan blake,10,1,2.11,1987,3
suzanne forster,21,1.55,1.93,1997,3
teresa carpenter,6,0.77,0.89,1993,3
terry sullivan,3,4.67,4.04,1994,1
tom segev,5,2.8,3.83,1998,1
tristan howard,4,1.25,2.5,1996,3
whoopi goldberg,4,2.66,2.06,1998,3
wolfgang amadeus mozart,4,6.5,4.43,1993,1
yann arthus-bertrand,6,6.33,3.78,2002,1
abraham harold maslow,3,0,0,1981,3
adrian nye,3,0,0,1990,3
alan parry,5,1.2,2.68,1996,3
andre iii dubus,3,1.03,1.78,1999,3
andrew j. offutt,7,1.57,2.75,1985,3
andy griffiths,8,2.93,4.09,2003,1
anna clarke,11,2.91,2.82,1990,1
anne scott,3,0,0,1995,3
bernard goldberg,3,3.06,1.12,2002,3
betty miles,12,1.54,2.62,1987,3
bo niles,4,4.25,5.06,1994,1
bonnie stern,3,4.33,4.04,1997,1
brian masters,3,2.5,4.33,1995,1
caroline slate,3,2.78,3.72,2003,1
cizia zykã?â«,3,6.33,3.06,1990,1
cyndi lee,3,1.67,2.89,2002,3
daniel pollock,3,0,0,1994,3
danielle steel,208,2.47,2.28,1995,2
david plante,3,0,0,1994,3
david rees,4,5.48,4.04,1995,1
debra monroe,4,1.5,1.91,1997,3
della rowland,6,0.83,2.04,1993,3
dervla murphy,3,4.83,4.25,1993,1
diane rossen worthington,5,3.5,4.18,1992,1
dirk fletcher,3,0,0,1993,3
don w. weber,3,1.32,1.18,1993,3
donald richie,3,3.67,3.21,1996,1
dorothy bryant,4,3.34,2.54,1989,1
douglas hirt,6,0,0,1998,3
ernest becker,4,4.5,4.2,1982,1
eudora welty,21,1.96,2.12,1985,3
georges perec,15,4.35,3.58,1992,1
gerd brantenberg,3,4.5,3.91,1989,1
gill hale,5,1.72,2.41,2001,3
gudrun pausewang,7,2.93,3.79,1994,1
halldor laxness,5,2.52,2.87,2001,1
helen prejean,3,2.14,2.01,1995,3
helge schneider,5,4.39,1.1,1996,3
hester kaplan,3,0.83,1.44,2001,3
howard schultz,3,5.78,3.22,1998,1
ian mcmahan,3,0,0,1988,3
james w. huston,7,3.84,3.23,2001,1
jerry schad,4,2.25,4.5,1990,1
joan elliot pickart,10,0.77,1.06,2001,3
john bianchi,4,4.5,5.26,1989,1
john matthews,17,4.28,4.38,1997,1
john thackray,3,9.67,0.58,1988,1
kaffe fassett,6,6,4.73,1996,1
katherine garbera,16,1.54,2.47,2002,3
kathy collard miller,5,3.04,3.91,1998,1
kendrick frazier,3,1.17,2.02,1986,3
knowlton nash,3,3.22,4.22,1999,1
kristin james,6,0,0,1987,3
larry jay martin,6,0.42,1.02,1995,3
laura simon,4,0,0,1994,3
lawrence block,101,2.5,2.53,1995,0
linda west eckhardt,3,6,5.29,1991,1
lisa ann marsoli,8,4.31,4.88,1997,1
lou jane temple,9,2.35,2.5,1999,3
lynne graham,45,1.4,2.39,1999,0
mackinlay kantor,6,4.77,2.99,1992,1
mallory kane,4,2.18,0.8,2003,3
margarita madrigal,5,2.6,3.71,1983,1
mark simpson,4,2.5,3,2000,1
mary griffith,3,0.89,1.54,1998,3
mary robison,4,2.67,2.54,1997,1
michael eric dyson,4,5.25,4.11,2000,1
miguel delibes,24,3.25,3.12,1995,1
nancy warren,11,2.64,2.38,2003,1
nicholas royle,7,2.68,2.87,1998,1
nick warburton,3,2.33,0.29,1999,3
norma farnes,3,5.33,4.62,2001,1
pamela f. service,7,0,0,1992,3
patrick sã?â¼skind,5,5.95,1.81,1996,1
peggy kahn,3,1.25,2.17,1989,3
peter kerr,5,0.68,1.52,2002,3
philip kopper,3,1.67,2.89,1982,3
rebecca smith,3,1.33,2.31,2002,3
rich hall,8,3.41,2.54,1990,1
robert b. parker,80,2.6,1.79,1996,0
robert olen butler,18,2.13,2.56,1997,3
robert westbrook,8,0.94,1.77,1999,3
robin schone,7,2.77,3.44,2001,1
sara bennett,5,4.3,2.24,2003,1
sarah louise delany,3,4.26,2.16,1995,1
sharon ewell foster,6,3.4,2.7,2001,1
sonya fitzpatrick,3,3.17,3.01,2001,1
steve salerno,3,1.17,1.26,1989,3
sue monk kidd,11,4.44,3.88,2000,1
theodore j. nottingham,3,6.67,5.77,1999,1
walter moers,12,5.31,3.43,1998,1
will osborne,3,0.83,1.44,1988,3
zachary klein,3,1.67,2.89,1992,3
a. m. homes,7,2.03,1.62,2000,3
alii m. bek,3,8,0,1998,1
alison weir,17,2.97,2.02,1998,3
amy ehrlich,7,5.9,3.47,1992,1
anne bronte,16,4.11,2.79,1992,1
anne tyler,87,1.95,1.7,1992,0
bart davis,4,2.5,5,1991,1
beverly connor,7,4,2.68,2002,1
bill baldwin,3,0,0,1991,3
bjorn kurten,5,0.9,2.01,1989,3
carol bolt,4,3.06,3.19,2000,1
catherine todd,6,5.92,3.04,2001,1
chimo,3,2,3.46,1998,1
christine arnothy,3,2.73,3.74,1992,1
daniele del giudice,5,2.4,3.58,1990,1
david baddiel,7,2.29,2.68,1999,1
dennis foon,3,0,0,1997,3
dennis rainey,10,0.85,1.97,1997,3
dharma singh khalsa,3,5,4.36,2000,1
diane stein,12,3.81,3.09,1992,1
dicey deere,6,2.8,2.97,2001,1
donna ball,3,0,0,1995,3
donna morrissey,5,4.23,3.42,2001,1
donna tartt,7,4.02,2.13,1998,1
elizabeth anders,3,0,0,1997,3
emily thompson,4,1.25,2.5,1989,3
felice holman,3,2.67,4.62,1982,1
frank simon,3,1.5,2.6,2000,3
giles tippette,5,0,0,1991,3
hailey north,7,2.66,1.06,2001,3
hannah alexander,9,1.06,2.05,2001,3
hargreaves,4,0.63,1.25,1980,3
iona archibald opie,7,3.86,4.1,1997,1
irene zahava,6,1,2.45,1989,3
j. b. stamper,7,0.59,0.92,1992,3
jack s. scott,3,0,0,1981,3
jane dunn,3,7.67,2.08,2001,1
jean davies okimoto,3,0.78,1.35,1992,3
jeff perk,4,7,4.76,2001,1
jill jones,9,1.29,1.04,1998,3
john brindley,3,7.67,2.52,2002,1
john burdett,4,3.11,3.47,2000,1
john cleland,7,2.79,2.97,1992,1
john crosby,4,0.5,1,1986,3
john dowd,3,0,0,1993,3
john gribbin,12,5.23,3.6,1994,1
john rosemond,5,2.2,3.9,1992,1
jonathan aycliffe,6,1.89,4.01,1995,1
joseph goldstein,4,2.13,2.53,1991,3
juanita havill,6,0.67,1.63,1992,3
judith jones,3,8,1,1990,1
julia blackburn,7,3.1,3.19,1997,1
karen erickson,5,4,2.24,1987,1
kit pearson,9,3.89,2.67,1995,1
lee magner,6,0.5,1.22,1991,3
len deighton,65,1.86,2.68,1988,0
leslie kelly,10,2.45,3.32,2002,1
linda a. cooney,28,0.68,2.09,1991,3
linda windsor,13,2.44,2.82,1997,1
m. r. montgomery,3,3.83,3.75,1996,1
malcolm campbell,3,3,5.2,1999,1
marc behm,9,6.69,3.43,1995,1
marcia wieder,4,0,0,1997,3
margaret mead,7,1.24,2.12,1987,3
marjorie hansen shaevitz,3,2.67,4.62,1991,1
michael d. resnick,6,4.61,3.65,1997,1
miriam stoppard,15,3.04,3.4,1994,1
ngugi wa thiong'o,6,0.82,1.28,1986,3
patricia wayant,5,6.85,2,1998,1
patrick anderson,6,2,3.16,1987,3
peter guralnick,8,4.38,3.89,1994,1
peter matthews,3,2.64,1.61,1995,3
r. d laing,3,0,0,1974,3
rachel ford,5,0.33,0.75,1991,3
randall silvis,3,2.83,2.47,2002,1
roger-pol droit,3,5.67,2.31,2003,1
rose wyler,3,0,0,1983,3
shana abe,7,1.95,1.91,2000,3
sharon brondos,11,0.86,1.83,1992,3
staff,3,4.33,4.04,1991,1
stephen e. heiman,3,0,0,1995,3
stevie smith,3,9.33,0.58,1992,1
susan silver,3,0.56,0.96,1992,3
suzanne matson,5,1.73,2.47,2000,3
syrell rogovin leahy,3,0,0,1985,3
thomas levenson,3,2.33,4.04,1997,1
tim sebastian,10,0.6,1.9,1992,3
troll books,8,2.4,2.4,1991,3
w. h.  inmon,3,0,0,1996,3
zee edgell,3,0,0,1991,3
ann morris,3,3.5,0,1993,3
art linkletter,3,0,0,1985,3
arthur bloch,8,3.42,2.61,1994,1
bonnie k. winn,9,1.22,1.99,1999,3
bonnie ramthun,4,2.08,2.11,2000,3
brady udall,4,3.83,0.55,2001,3
carol watson,3,2.67,4.62,1988,1
catherine hermary-vieille,3,5.67,2.52,1992,1
catherine palmer,20,2.4,3.19,1999,1
celia rees,13,3.39,3.16,2001,1
charles g. west,4,1.75,3.5,2000,1
charles robertson,4,1.08,2.17,1985,3
claude mckay,3,1.11,1.92,1991,3
colleen quinn,5,3.4,3.71,1990,1
david ramus,6,0.25,0.61,1998,3
donald bain,4,1.31,1.72,1999,3
donna m. jackson,4,4.5,4.8,2000,1
doug  lowe,4,1.25,2.5,2000,3
douglas niles,32,3.03,2.87,1996,0
elizabeth elliot,3,2.33,4.04,1996,1
erri de luca,11,3.87,2.84,1999,1
fergus fleming,5,3,4.24,2001,1
george hayduke,5,5.6,3.13,1988,1
hal lindsey,24,1.4,2.97,1984,3
hans jã?â¼rgen press,3,8.67,2.31,1997,1
harry rowohlt,3,6.67,3.21,2000,1
helen ellis,3,3.41,0.92,2001,3
howard liss,5,2.87,4.41,1980,1
ian livingstone,8,0.75,2.12,1987,3
ina may gaskin,3,5.22,5.01,1991,1
inc. book sales,4,1.63,2.14,1996,3
j. s. borthwick,11,3.74,3.55,1998,1
james cameron,5,4.1,4.51,1998,1
james h. schmitz,9,4.31,3.2,1999,1
james lipton,4,7.25,1.71,1986,1
james p. blaylock,9,2.93,3.39,1994,1
james west davidson,4,2,4,1987,1
janice elliott,3,0,0,1992,3
jeneth murrey,10,0.23,0.74,1985,3
jenny craig,3,1.67,2.89,1996,3
jilly cooper,13,2.38,3.17,1987,1
john saul,69,2.14,1.62,1994,0
jonellen heckler,5,2.37,2.26,1991,3
judy christenberry,45,1.26,1.87,2000,0
julian rathbone,8,3.04,3.12,1994,1
karen kijewski,17,1.58,1.58,1994,3
kathleen o'brien,12,1.42,1.55,1999,3
laurence perrine,6,3.92,3.2,1986,1
les krantz,4,1.75,3.5,1995,1
lilian moore,7,2.09,3.27,1990,1
linda fairstein,19,1.89,1.54,2000,3
lindsay maracotta,3,2,2,1998,3
lucia st clair robson,3,2.6,1.93,1986,3
luke david,6,1.8,2.16,1999,3
macdonald harris,3,4.67,4.51,1986,1
marc iverson,3,2,3.46,1992,1
marion zimmer bradley,215,3.31,2.8,1993,2
martin luther,10,2.25,3.81,1985,1
mary karr,5,4.02,1.79,1999,1
mary morris,16,1.52,2.88,1996,3
michael azerrad,3,5,2.78,1999,1
michael bishop,10,1,1.72,1989,3
michael bloch,3,5.11,2.01,1991,1
monty roberts,8,4.02,3.16,1999,1
pete abrams,3,9.89,0.19,2001,1
phoebe atwood taylor,25,1.04,2.3,1992,3
rachelle edwards,8,0.63,1.77,1988,3
richard a. wright,4,3,2.33,1999,1
richard exley,6,1.33,2.07,1994,3
richard hofstadter,5,5.33,4.62,1973,1
robert bell,3,2.5,4.33,1991,1
ross petras,9,4.15,2.85,1996,1
sandra paul,3,2.31,2.01,1998,3
stephanie alexander,3,6,5.29,1999,1
sue harrison,13,2.27,1.83,1996,3
theresa breslin,3,2.67,4.62,1998,1
tish sommers,5,0,0,1988,3
tony earley,7,2.74,3.29,1999,1
walter wangerin,12,1.86,2.67,1990,3
wayne johnson,3,0,0,1998,3
elizabeth hollinger,3,5,4.36,1999,1
a.a. milne,23,4.62,3.64,1993,1
adam beechen,5,1.6,3.58,2002,1
alison strickland,3,1.67,2.89,1985,3
allan topol,3,2.24,1.32,2003,3
amy dean,5,6.07,3.9,1991,1
amy tan,50,3.74,2.84,1997,0
andy mangels,6,1.91,2.14,2000,3
anna kirwan,3,3.62,4.05,1998,1
anthony burgess,39,1.99,3.08,1989,0
bari wood,13,1.41,2.02,1987,3
bea sloboder,3,0.33,0.58,1996,3
betsy lerner,4,2.33,1.7,2002,3
bill murphy,4,0.83,1.67,2000,3
candas jane dorsey,4,2.92,2.36,1999,1
carly bishop,3,3.58,5.16,1996,1
carol devine,3,3.89,5.36,1996,1
carrie randall,3,1.67,2.89,1990,3
charlotte paul,5,0.5,1.12,1982,3
chris rowthorn,6,5.03,2.94,2001,1
christian jacq,57,2.84,2.81,2000,0
christopher mcgowan,4,7.25,4.86,1996,1
clay coleman,3,0,0,1991,3
connie rose porter,4,3.75,4.79,1998,1
conrad richter,6,1.5,1.47,1989,3
david bishop,21,0.67,1.02,1995,3
deirdre mcnamer,4,0.78,0.97,1997,3
donald d. davis,3,0,0,1995,3
dutch sheets,4,4.63,3.68,2000,1
echo heron,12,4.22,3.77,1996,1
eileen hehl,5,1.8,4.02,1988,1
erick wujcik,10,7.85,1,1990,1
florence parry heide,6,4.36,4.87,1983,1
francis macnutt,3,4.83,5.01,1985,1
gabrielle lord,4,2.9,2.68,1991,1
gerhart hauptmann,8,4.04,3.07,1996,1
gill guile,4,1.5,1.91,1994,3
gooseberry patch,6,0,0,1999,3
heather allison,11,2.24,2.86,1994,1
jack early,3,5.67,1.15,1991,1
jan marino,4,0.75,1.5,1993,3
janet dailey,212,1.07,2.37,1991,2
jean lush,4,2.75,3.4,1995,1
john ashbery,8,3.25,3.68,1994,1
john bakeless,3,0,0,1986,3
john gierach,3,4.33,4.04,1993,1
joseph schwartz,3,4.29,0.96,1991,3
judy astley,9,3.97,2.77,1999,1
kenneth m. morris,4,1.63,3.25,1997,1
kunihiko kasahara,3,6,5.2,1983,1
lauren bach,3,5.75,3.83,2002,1
laurie adams,3,4.56,4.11,1990,1
lawrence treat,3,6.67,2.89,1992,1
lee k. abbott,3,1,1.73,1996,3
linda lewis,14,2.49,3.42,1991,1
loraine despres,3,5.14,4.21,2002,1
louis proto,4,0,0,1994,3
louisa luna,3,4.76,4.72,2002,1
louise rafkin,9,2.89,2.62,1997,1
lucy clare,4,2.17,2.52,2003,1
lynda laplante,3,2.28,2.34,1994,3
lynne mctaggart,4,5.75,4.35,1997,1
maeve brennan,3,3.53,4.08,2000,1
margaret wild,3,1.89,1.64,2003,3
maria polushkin,3,6.67,4.16,1991,1
martin delrio,3,0,0,1999,3
maureen howard,7,3.65,3.67,1993,1
maureen mccarthy,3,6.83,0.76,2000,1
michael c. eberhardt,3,0.81,0.7,1996,3
monique ellis,5,2.9,3.29,1996,1
nick carter,9,0,0,1983,3
omar khayyam,5,5.45,3.76,1987,1
philippa greene mulford,3,2.33,4.04,1988,1
r. l. stine,282,1.47,2.05,1997,2
reinhold messner,4,0,0,2000,3
richard a. lupoff,9,1.35,1.81,1992,3
richard holmes,5,2.4,3.58,2000,1
robert aitken,4,6.88,2.66,1991,1
robert clark,9,3.78,2.89,1997,1
robert lawson,5,1.55,1.84,1986,3
robert s. elegant,4,0,0,1986,3
rodney peppe,3,1.33,2.31,1990,3
roy hemming,4,4,4.9,1991,1
shad helmstetter,4,2.23,2.61,1991,3
sharon wegscheider-cruse,3,0,0,1985,3
shawna delacorte,14,0.61,1.09,1999,3
sheila haigh,3,6,5.29,1989,1
sir thomas more,3,4.17,1.76,1979,3
stephen mooser,14,0.49,1.06,1989,3
suzy spencer,4,4.78,3.59,2001,1
thornton niven wilder,3,2.75,3.03,1982,1
tim brookes,3,1.13,1.96,1998,3
tomie depaola,27,3.15,4.07,1990,1
toni l. p. kelner,6,1.27,1.6,2000,3
vance havner,3,6,5.2,1982,1
william mayne,7,1.43,3.78,1986,3
alf proysen,3,3,5.2,1990,1
alistair maclean,61,1.5,2.55,1982,0
amy macdonald,5,2.9,2.75,1997,1
andrei makine,12,3.66,3.45,2000,1
anita brookner,50,2.39,2.72,1994,0
anne logan,4,1.67,2.36,1995,3
axel madsen,3,0.24,0.41,1995,3
bernie lee,3,2.11,2.59,1992,3
clive king,3,4.67,4.04,1996,1
cory doctorow,4,2.76,2.27,2003,1
dave hunt,5,3.63,4.6,1991,1
david anthony durham,3,5.67,4.93,2002,1
david fraser,6,2.25,3.76,1991,1
david g. miller,3,4.11,3.66,1991,1
david mcrobbie,3,2.33,2.08,1997,3
david niall wilson,4,2.81,4.83,1999,1
debra wasserman,4,8,2.71,1996,1
diane mckinney-whetstone,6,4.23,1.98,1999,1
doris grumbach,7,4.89,3.6,1992,1
e.v. cunningham,4,0,0,1983,3
earlene fowler,23,2.81,2.66,2000,1
ferran torrent,4,3.42,3.17,1995,1
frank baldwin,3,3.92,4.4,2001,1
fred rogers,9,5.03,4.35,1992,1
gary alexander,4,0,0,1992,3
gita mehta,9,4.27,3.59,1992,1
hanif kureishi,24,4.43,2.91,1998,1
harrison evans salisbury,5,5,4.58,1983,1
helen archery,3,0.56,0.96,1993,3
jack brennan,3,0,0,1999,3
jack moeller,4,4.5,5.26,1993,1
jack trout,3,4.67,4.16,1992,1
james gelsey,29,1.99,2.35,2001,0
jean toomer,3,3.69,2.01,1985,3
jen holling,5,1.77,1.87,2001,3
jennifer wilde,9,1.22,1.13,1986,3
joan e. pickart,5,0,0,1987,3
john taylor gatto,4,1.78,2.37,1996,3
juan jose benitez,8,5.06,1.35,1997,1
julia spencer-fleming,5,5.45,1.63,2003,1
kenneth n. taylor,3,0,0,1982,3
kodansha international,3,6.67,5.77,1995,1
kyle mills,13,2.61,2.39,2000,1
laura abbot,11,2.52,2.01,2000,3
laurent vicomte,4,9.25,0.5,1993,1
leah feldon,3,2.33,4.04,1995,1
lee williams,4,0,0,1993,3
lily brett,11,3.24,3.61,2000,1
lisa higdon,4,1,2,2000,3
m. e. ensminger,3,10,0,1996,1
matt novak,5,4.4,4.28,1996,1
melissa senate,3,3.15,0.7,2002,3
michelin staff,4,5.75,3.86,1999,1
mike leonetti,3,7,0,1998,1
mildred carter,7,1.62,3.08,1986,3
mouse works,36,2.54,3.29,1995,0
muriel jenson,4,1.17,1.07,2000,3
nadia nichols,3,1.71,2.06,2003,3
najib mahfuz,3,0,0,1986,3
oliver johnson,3,1.5,1.32,1998,3
patricia a. mckillip,35,3.25,2.92,1991,0
peter jenkins,19,2.29,1.7,1989,3
phoebe gilman,5,3.6,3.78,1989,1
richard woodman,5,1,2.24,1996,3
rosemary edghill,12,3.81,3.53,1997,1
rosemary rogers,32,1.66,2.11,1994,0
scarlett thomas,4,5.5,2.38,2003,1
sheila mccullagh,6,1.33,3.27,1986,3
shelby foote,7,2.14,2.67,1992,3
sidelines,6,2,3.35,1993,1
sonya hartnett,4,0,0,1999,3
stephen baker,5,3.86,1.61,1991,3
sylvia louise engdahl,3,5,4.36,1993,1
thomas l. tedrow,9,1.44,1.96,1992,3
tom brown,7,4.34,3.97,1988,1
ved mehta,3,1.83,3.18,1989,3
william h. mcneill,4,3,3.56,1988,1
william kennedy,11,1.07,1.61,1991,3
yashar kemal,3,2.33,2.08,1996,3
yukito kishiro,5,7.6,2.1,1999,1
alice gray,27,3.58,3.41,2000,1
ann charters,7,4.89,4.08,1986,1
anne edwards,20,2.3,3.19,1992,1
beverly daniel tatum,3,4,4.58,2000,1
catherine lyndell,7,3.43,3.9,1987,1
charles stross,4,3.58,4.4,2003,1
charlotte graeber,3,1,1.73,1991,3
chris stewart,7,2.81,2.45,2000,1
colin bateman,9,2.58,3.81,1998,1
connie briscoe,9,1.81,2.87,1998,3
dalai lama xiv bstan-'dzin-rgya-mtsho,3,5.44,0.51,1997,1
darin strauss,3,4.36,2.3,2000,1
dav pilkey,36,3.02,3.1,1999,0
david crystal,12,4.25,4.54,1995,1
david halberstam,28,2.73,2.58,1994,0
david maraniss,8,0.58,1.09,1999,3
dee brestin,6,1.56,1.99,1996,3
derek lambert,5,0.8,1.79,1990,3
dorothy leeds,5,0,0,1995,3
dudley pope,11,1.27,2.2,2000,3
eduardo h. galeano,4,3.5,4.36,1990,1
elizabeth a. ryan,3,0.83,1.44,1990,3
elizabeth lane,12,1.16,1.6,1996,3
elspeth huxley,4,2.25,4.5,1986,1
felicitas hoppe,3,0,0,2000,3
francine prose,14,2.76,3.33,1997,1
frank bruni,3,2,3.46,2002,1
frank g. slaughter,4,0.88,1.75,1976,3
gareth morgan,4,1.75,2.06,1990,3
gerald hausman,6,3.25,4.49,1998,1
gery greer,6,0.42,1.02,1990,3
gioconda belli,7,4.03,3.33,1998,1
glenda sanders,10,1.08,1.68,1994,3
hedrick smith,7,0,0,1989,3
henry adams,6,2.33,3.49,1990,1
howard m. shapiro,5,1.55,2.27,2002,3
isak dinesen,26,2.85,3.11,1988,0
ivars  peterson,3,3.33,5.77,1999,1
jana g. oliver,3,4,3.61,2001,1
jane waterhouse,7,0.52,1.12,1996,3
jay conrad levinson,7,4.38,2.81,1991,1
jeanne ray,10,2.49,2.06,2002,3
jenny arden,5,1,2.24,1990,3
jim murphy,9,1.89,3.1,1993,3
joanne barkan,22,2.85,3.22,1994,1
john nichols,16,3.24,2.69,1991,1
jonathan waterman,3,3.33,5.77,1997,1
juliette clarke,4,3.88,4.48,1998,1
karol wojtyla,3,5.67,5.13,1989,1
kathleen ann goonan,9,2.78,3.73,1999,1
kristen johnson ingram,3,0,0,2001,3
kristine l. franklin,6,1.75,2.75,1989,3
laura e. williams,6,0,0,1999,3
laurie mcbain,7,2.23,0.95,1988,3
leon edel,3,0,0,1982,3
leonard michaels,7,1.07,1.88,1994,3
ljudmila ulitzkaja,5,1.66,2.29,2000,3
lucy kincaid,3,0,0,1986,3
lynn michaels,3,3.44,1.41,2003,3
lynn turner,7,1.29,3.4,1988,3
marguerite duras,52,4.12,3.5,1989,0
marilyn singer,13,2.54,3.53,1993,1
mary baker eddy,3,5.67,3.75,1997,1
max apple,3,2.44,1.5,1987,3
michael turner,3,3.67,3.51,2001,1
mike dunn,4,0.63,1.25,1993,3
myong-jin yi,4,8.23,2.05,2003,1
pat relf,3,3.5,3.12,1986,1
patricia guiver,6,3.25,4.54,2000,1
patrick gale,8,1.53,2.2,1994,3
paul duncan,3,2.67,4.62,2000,1
penelope williamson,12,2.18,1.92,1997,3
peter nichols,6,2.11,2.09,2000,3
peter washington,5,4.43,4.32,1996,1
philip morrison,3,0.76,1.32,1989,3
polly horvath,7,2,2.77,2000,1
ray smith,7,2.36,3.22,1992,1
rosamond richardson,4,3.5,4.12,1994,1
ruth montgomery,9,2.11,2.71,1984,3
sandy petersen,4,9.25,1.5,1992,1
sharon shinn,18,4.86,1.97,2001,1
stuart m kaminsky,3,3.27,3.52,1978,1
susan pearson,5,1.6,3.58,1987,3
t.m. mcnally,3,0,0,1997,3
ted andrews,13,2.96,2.66,1994,1
tim f lahaye,3,0,0,1979,3
tim underwood,7,3.05,2.74,1989,1
tisha hamilton,32,0.31,0.89,1995,3
v. s naipaul,5,1.23,2.03,1981,3
val davis,4,3.3,3.76,2000,1
walker & co,4,6.75,2.36,1986,1
william mcgonagall,3,4.67,4.51,1997,1
wishing well,6,1.17,2.86,1995,3
alanna nash,5,0.8,1.79,1991,3
anna jennet,3,0,0,1995,3
antonio gala,22,2.53,3.15,1999,1
arlene dubanevich,6,2,3.16,1988,3
arthur frommer,8,3.35,3.19,1998,1
