author,qtd_livros,media_avaliacao
willabel l. tong,2,0
yves simon,2,3.63
samantha glen,2,4.55
thomas l. friedman,7,3.7
vicki thompson,4,0.57
a. b. guthrie,2,1.75
al sarrantonio,12,4.14
alexis harrington,9,2.12
alison prince,3,1.17
amy witting,3,4.5
andrew offutt,2,3.5
anne bernays,4,3.06
anne hebert,3,1.33
anthony john,2,0
arthur charles clarke,25,2.55
asha dornfest,2,2.5
barbara boswell,35,1.98
barbara brabec,3,1.13
barbara korsness,2,5
beth cruise,11,0.23
beth wilson,3,0.89
bill kaysing,2,3
billy crystal,2,5
cara miles,2,0
carlos puerto,3,2.67
carolyn j. (carolyn janice) cherryh,2,3.5
christopher buckley,18,3.63
colleen k. dodt,3,7
colleen mccullough,39,1.95
corinne denan,3,0
d. f. jones,2,0
daisaku ikeda,29,9.14
david r. stiles,3,6
david servan-schreiber,2,7.5
debra lee brown,5,1.34
donald honig,3,2.67
doreen owens malek,12,1.04
doug swanson,2,1
eddie little,4,3.83
edward twitchell hall,6,3.44
eiji yoshikawa,12,0.99
elaine fox,11,1.36
elizabeth bolton,3,1.33
ellen w. caughey,2,5
emeril lagasse,5,4.67
emiliano tardif,2,10
emily spenser,4,0
emma page,2,2.25
evelyn crowe,2,0.36
fauziya kassindja,2,2.66
fiona buckley,11,3.34
first little golden book,3,0.28
florence king,8,3.7
fran manushkin,10,5.35
g. k. chesterton,16,4.33
gaby hauptman,2,5.45
gail fairfield,4,5.5
gail lumet buckley,2,0
george shannon,5,1.8
gerald g jampolsky,2,0
graham kerr,3,0
greg anderson,6,2.77
greg bear,61,2.83
h. n. turteltaub,3,3.25
harry m. orlinsky,2,8.33
harville hendrix,8,3.32
hayley gardner,3,1.67
helen a. derosis,2,0
isobelle carmody,6,5.53
j. c. masterman,2,2.33
j.b. phillips,2,2.5
jack martin,4,0
jacquelin thomas,8,4.19
jacques almira,2,0
james a reinking,2,4
james c. hefley,2,2.5
james wilcox,12,2.54
jane kirkpatrick,11,3.81
jerry ellis,5,0.8
jodie forrest,3,0.67
john bentley mays,3,2.33
john hockenberry,4,3.29
josã© saramago,6,7.15
juan manuel de prada,5,1.7
julie hagstrom,3,2.5
julio cortã?â¡zar,4,3.42
jurek becker,8,3.28
kate walker,16,0.91
kathy braidhill,3,0.96
kathy herman,6,4.17
kelli c. foster,2,0
laura doyle,3,4.19
lee j. ames,7,3.93
lilian harry,6,1.53
linda lang bartell,5,4
lonnie coleman,3,0
loren eiseley,2,0
lucinda roy,4,1.88
lukas hartmann,2,0
lyn stone,14,1.85
margaret buffie,6,2.51
marilyn levy,6,3.33
matthew thomas,3,2.99
melinda metz,21,2.33
melissa stone,4,0
michael a. pastore,7,0.86
michael coney,3,0
michael conner,2,0
michael palin,15,3.48
michael thomas,3,1
michelle curry wright,2,4.92
mike magnuson,4,5.13
miles mcpherson,2,0
muriel mandell,4,4.2
nadine bernard westcott,3,0.89
nancy mars freedman,2,0
natasha rostova,2,3.5
neil  rackham,3,5.83
nichelle nichols,3,1.83
nicole johnson,2,8.33
pamela britton,5,2.26
parker,2,5
peter hanratty,2,0
rae andre,3,1.22
regine dumay,2,0
richard marius,5,1.8
richard pipes,3,4
robert crais,24,2.49
robert grudin,2,2.75
robert j. milch,2,5
rudy de reyna,2,6.5
ruriko pilgrim,3,5.33
ruth myers,3,4.37
sedgewood press,2,0
sheryl kahn,2,1.33
simon st. laurent,3,0
soheir khashoggi,2,5
stan cullimore,2,2.5
stansfield turner,2,2.5
stephanie marohn,3,5.67
stephen frey,9,3.06
stephen g. michaud,9,1.8
susan sheehan,5,1.73
ulla lachauer,2,10
val daniels,8,1.72
w. j. weatherby,2,2
wendy beckett,4,3.5
william anderson,6,4.69
william finnegan,3,1.67
wynema mcgowan,6,1.88
wynne whiteford,3,2.67
zev vilnay,2,0
noah adams,7,2.05
abraham harold maslow,3,0
adrian nye,3,0
alan parry,5,1.2
alison sinclair,2,3.63
alston chase,2,0
andre iii dubus,3,1.03
andrew j. offutt,7,1.57
andrew roberts,2,0
andrew todhunter,2,0
andy baggott,2,9
andy griffiths,8,2.93
anita bunkley,2,5
ann thwaite,2,3.5
anna clarke,11,2.91
anne scott,3,0
barbara sherrod,2,0
barbara von bellingen,2,5
belleruth naparstek,2,6.55
bernard goldberg,3,3.06
betty miles,12,1.54
bo niles,4,4.25
bonnie stern,3,4.33
brandner,2,1.42
brian masters,3,2.5
carmen vazquez-vigo,2,1
caroline slate,3,2.78
casey loe,2,4.5
cathy marie hake,2,0
charles r. schwab,2,3
christine wallace,2,6.5
cizia zykã?â«,3,6.33
cyndi lee,3,1.67
cynthia sternau,2,7
daniel pollock,3,0
danny abelson,2,2.5
dave olsen,2,1.33
david plante,3,0
david rees,4,5.48
debra monroe,4,1.5
della rowland,6,0.83
denise clark pope,2,3.5
dervla murphy,3,4.83
diane rossen worthington,5,3.5
dirk fletcher,3,0
don w. weber,3,1.32
donald richie,3,3.67
donald westlake,2,3
donna boundy,2,9.25
dorothy bryant,4,3.34
dorothy lehmkuhl,2,5.25
douglas hirt,6,0
elizabeth wood,2,6
emily james,2,0
ernest becker,4,4.5
eudora welty,21,1.96
evan morris,2,1.88
geoffrey robertson,2,4
georges perec,15,4.35
gerd brantenberg,3,4.5
gill hale,5,1.72
gudrun pausewang,7,2.93
halldor laxness,5,2.52
helen cowcher,2,0
helen prejean,3,2.14
helge schneider,5,4.39
hester kaplan,3,0.83
howard schultz,3,5.78
ian mcmahan,3,0
inglis clark fletcher,2,1.5
j. patrick law,2,0
james johnson,2,0
james w. huston,7,3.84
jan kerouac,2,0
janet lowe,2,2.83
jerry schad,4,2.25
jill smolinski,2,2.28
joan elliot pickart,10,0.77
john bianchi,4,4.5
john keay,2,0
john matthews,17,4.28
john thackray,3,9.67
julia bell,2,4
kaffe fassett,6,6
katherine frank,2,5.25
katherine garbera,16,1.54
kathy collard miller,5,3.04
katie singer,2,3.58
kay boyle,2,0
kendrick frazier,3,1.17
knowlton nash,3,3.22
kristin james,6,0
larry jay martin,6,0.42
laura simon,4,0
leonard e. barrett,2,9.5
linda west eckhardt,3,6
lisa ann marsoli,8,4.31
lou jane temple,9,2.35
luis landero,2,4
luke timothy johnson,2,0
lynne graham,45,1.4
mackinlay kantor,6,4.77
mallory kane,4,2.18
margarethe cammermeyer,2,0
margarita madrigal,5,2.6
mark simpson,4,2.5
mary griffith,3,0.89
mary robison,4,2.67
maud grieve,2,4.5
michael arlen,2,2.5
michael eric dyson,4,5.25
miguel delibes,24,3.25
milo o. frank,2,4
nancy john,2,1.5
nancy warren,11,2.64
natalie stenzel,2,1.58
neil f. comins,2,4.5
nell b. dale,2,5
nicholas parsons,2,3.5
nicholas royle,7,2.68
nick warburton,3,2.33
norma farnes,3,5.33
pamela f. service,7,0
pamela michael,2,1.5
patrick sã?â¼skind,5,5.95
paul brand,2,1.33
paul m. sammon,2,5.58
peggy kahn,3,1.25
peter kerr,5,0.68
philip kopper,3,1.67
phillippe van rjndt,2,0
rebecca manley pippert,2,1.75
rebecca smith,3,1.33
rich hall,8,3.41
richard surman,2,2.67
robert b. parker,80,2.6
robert olen butler,18,2.13
robert westbrook,8,0.94
robin schone,7,2.77
sara bennett,5,4.3
sarah louise delany,3,4.26
sharon ewell foster,6,3.4
sonya fitzpatrick,3,3.17
stephanie kegan,2,0
stephen randall,2,2.5
steve salerno,3,1.17
steven j. zeitlin,2,0
sue mayfield,2,0
sue monk kidd,11,4.44
tanya michaels,2,3.33
theodore j. nottingham,3,6.67
tina reilly,2,3
ursula von kardorff,2,0
walter moers,12,5.31
will osborne,3,0.83
zachary klein,3,1.67
judy botello,2,2.5
a. m. homes,7,2.03
abbas milani,2,2.55
alii m. bek,3,8
alison weir,17,2.97
amy ehrlich,7,5.9
anees jung,2,0
angela hausner,2,0.5
anne bronte,16,4.11
anne tyler,87,1.95
annette dã?â¶brich,2,4
annette kuhn,2,4.5
bart davis,4,2.5
ben forta,2,0
beverly connor,7,4
bill baldwin,3,0
bjorn kurten,5,0.9
brian ball,2,4.5
brian hunter,2,4.5
carol bolt,4,3.06
catherine sefton,2,0
catherine todd,6,5.92
catrin collier,2,0
chimo,3,2
christine arnothy,3,2.73
cynthia crossen,2,0
dana corbit,2,0.36
daniele del giudice,5,2.4
david baddiel,7,2.29
david burn,2,6.75
denise noel,2,0
dennis foon,3,0
dennis rainey,10,0.85
dharma singh khalsa,3,5
diane stein,12,3.81
dicey deere,6,2.8
donna ball,3,0
donna morrissey,5,4.23
donna tartt,7,4.02
duane unkefer,2,1.25
ed walters,2,2
elizabeth anders,3,0
emily thompson,4,1.25
f. a. hayek,2,3.25
felice holman,3,2.67
fernando garcia de cortazar,2,3
flann obrien,2,5.33
flic everett,2,0
frank simon,3,1.5
frederick reuss,2,0.88
geoffrey burnie,2,0
geraldine taylor,2,0
giles tippette,5,0
gloria skinner,2,0
gwendolyn m. parker,2,0
h. miller,2,0
hailey north,7,2.66
hannah alexander,9,1.06
hargreaves,4,0.63
henry bromell,2,1.25
iona archibald opie,7,3.86
irene zahava,6,1
j. b. stamper,7,0.59
jack s. scott,3,0
jack weyland,2,7.25
jamie jaworski,2,0
jane dunn,3,7.67
jean davies okimoto,3,0.78
jean horton berg,2,0
jeanne wakatsuki houston,2,4
jeff perk,4,7
jill jones,9,1.29
john brindley,3,7.67
john burdett,4,3.11
john cleland,7,2.79
john cronin,2,5
john crosby,4,0.5
john dowd,3,0
john gribbin,12,5.23
john rosemond,5,2.2
jonathan aycliffe,6,1.89
joseph goldstein,4,2.13
joseph skibell,2,2.48
juanita havill,6,0.67
judith jones,3,8
judy hindley,2,0
julia blackburn,7,3.1
julian gough,2,3.3
karen erickson,5,4
kit pearson,9,3.89
klaus heilmann,2,3
launa huffines,2,4
lee magner,6,0.5
len deighton,65,1.86
leslie kelly,10,2.45
linda a. cooney,28,0.68
linda windsor,13,2.44
m. r. montgomery,3,3.83
madeleine marsh,2,2.5
malcolm campbell,3,3
marc behm,9,6.69
marc weissbluth,2,2
marcia wieder,4,0
margaret mead,7,1.24
margot batrae,2,1.9
marjorie hansen shaevitz,3,2.67
mary abbott hess,2,2.5
marã­a josã© voltes,2,3
maureen pople,2,3.5
medical economics co.,2,5.5
meg alexander,2,3
melinda coss,2,4.5
melissa peterson,2,2.5
michael barak,2,0
michael d. resnick,6,4.61
michael heyward,2,0
michael zullo,2,3.75
miguel esteves cardoso,2,6.5
miriam stoppard,15,3.04
ngugi wa thiong'o,6,0.82
niki de saint phalle,2,5
norman garbo,2,0
patricia wayant,5,6.85
patricia wendorf,2,0
patrick anderson,6,2
penrose colyer,2,2.5
peter guralnick,8,4.38
peter matthews,3,2.64
r. d laing,3,0
rachel caine,2,4.39
rachel ford,5,0.33
randall silvis,3,2.83
reid bramblett,2,6.5
rembrandt harmenszoon van rijn,2,7.5
richard bohringer,2,0
roger-pol droit,3,5.67
rose wyler,3,0
sangharakshita,2,5
shana abe,7,1.95
sharon brondos,11,0.86
shelby steele,2,5.5
staff,3,4.33
stephen e. heiman,3,0
steven curtis chapman,2,4.5
stevie smith,3,9.33
sue ellen cole,2,5
susan silver,3,0.56
suzanne havala,2,0
suzanne matson,5,1.73
syrell rogovin leahy,3,0
thomas levenson,3,2.33
thomas sugrue,2,4.25
tim frew,2,7.5
tim sebastian,10,0.6
tracy cabot,2,0
troll books,8,2.4
w. h.  inmon,3,0
william doyle,2,5
william rowan,2,0
zee edgell,3,0
abby bardi,2,3.67
ann morris,3,3.5
anne west,2,5.17
anthony dias blue,2,0
apple jordan,2,0
art linkletter,3,0
arthur bloch,8,3.42
betty harper fussell,2,3.5
bonnie k. winn,9,1.22
bonnie ramthun,4,2.08
brady udall,4,3.83
c. s. evans,2,5
c. van amerongen (translator),2,7.5
carol clewlow,2,2
carol watson,3,2.67
catherine hermary-vieille,3,5.67
catherine palmer,20,2.4
catherine robinson,2,3.5
celia rees,13,3.39
charles e. bressler,2,0
charles g. west,4,1.75
charles robertson,4,1.08
cherie burns,2,4.5
claude mckay,3,1.11
colleen quinn,5,3.4
cook,2,2
curtis pesmen,2,2.5
danny bonaduce,2,7.5
david arora,2,9.83
david b. ellis,2,0
david mckee,2,5
david ramus,6,0.25
donald bain,4,1.31
donna grant,2,6.25
donna m. jackson,4,4.5
doug  lowe,4,1.25
douglas niles,32,3.03
ed radlauer,2,0
edward m. hays,2,4.5
elise ford,2,3
elizabeth elliot,3,2.33
erri de luca,11,3.87
fergus fleming,5,3
gary s. aumiller,2,4
george hayduke,5,5.6
gerda weissmann klein,2,3.5
gordon davis,2,0
greg palmer,2,4.5
hal lindsey,24,1.4
hans jã?â¼rgen press,3,8.67
harriet baskas,2,6.6
harriet rochlin,2,4.5
harry rowohlt,3,6.67
helen ellis,3,3.41
honorâ© de balzac,2,1.67
howard liss,5,2.87
ian livingstone,8,0.75
ian stuart black,2,0
ina may gaskin,3,5.22
inc. book sales,4,1.63
irene b. brand,2,0.75
isaac kramnick,2,0
isabel stanley,2,0
j. s. borthwick,11,3.74
james cameron,5,4.1
james h. schmitz,9,4.31
james lipton,4,7.25
james p. blaylock,9,2.93
james west davidson,4,2
jan kuhlbrodt,2,0
janice elliott,3,0
jemiah jefferson,2,2.49
jeneth murrey,10,0.23
jenny craig,3,1.67
jill jarnow,2,0
jilly cooper,13,2.38
joan eckstein,2,1.17
joan joseph,2,0
john c. tucker,2,4
john donohue,2,2
john montgomery,2,3
john saul,69,2.14
john t molloy,2,0
jonathan green,2,1.63
jonellen heckler,5,2.37
judy christenberry,45,1.26
julian rathbone,8,3.04
k.m. swan,2,3.5
karen kijewski,17,1.58
kate walbert,2,2.11
kathleen o'brien,12,1.42
kay stephens,2,2.5
ken ring,2,2.5
kim mohan,2,3
kristina downing-orr,2,2.5
laurence perrine,6,3.92
les krantz,4,1.75
lilian moore,7,2.09
linda fairstein,19,1.89
lindsay maracotta,3,2
lucia st clair robson,3,2.6
luke david,6,1.8
macdonald harris,3,4.67
madeleine conway,2,6.83
marc iverson,3,2
maria rius,2,2.5
mark edward edens,2,0
mark goulston m.d.,2,0
martin luther,10,2.25
mary karr,5,4.02
mary morris,16,1.52
maryjean ballner,2,4.67
mcneill elisabeth,2,0
michael azerrad,3,5
michael bishop,10,1
michael bloch,3,5.11
monty roberts,8,4.02
nancy schoenberger,2,3.67
nicole krauss,2,6.25
norman daniels,2,0
patricia hearst,2,0.7
paul atterbury,2,2.5
pete abrams,3,9.89
phoebe atwood taylor,25,1.04
rachelle edwards,8,0.63
richard a. wright,4,3
richard exley,6,1.33
richard hofstadter,5,5.33
rita bigel-casher,2,3
rita carter,2,8
robert bell,3,2.5
robert s. wood,2,0
ross petras,9,4.15
ruth sanderson,2,4.25
sandra paul,3,2.31
sarah dearing,2,5
soozi holbeche,2,2.5
stephanie alexander,3,6
steve cosgrove,2,5.38
stuart kaminsky,2,4
sue harrison,13,2.27
sumner redstone,2,3
susan schneider,2,7.5
susan woodward springer,2,10
tamara dean,2,0
theresa breslin,3,2.67
thomas j peters,2,2.2
tish sommers,5,0
tony dunbar,2,3.67
tony earley,7,2.74
tony thomas,2,1.5
ulrich knellwolf,2,4.25
walter wangerin,12,1.86
wayne johnson,3,0
william norwich,2,0.75
zeruya shalev,2,2.55
elizabeth hollinger,3,5
a. zee,2,0
a.a. milne,23,4.62
adam beechen,5,1.6
alfred bosch,2,2.13
alison strickland,3,1.67
allan topol,3,2.24
amy dean,5,6.07
amy tan,50,3.74
andrea van steenhouse,2,2.33
andy mangels,6,1.91
anna kirwan,3,3.62
anne armstrong thompson,2,0
anthony burgess,39,1.99
barbara findlen,2,6.67
"barbara, ph.d. keesling",2,0
bari wood,13,1.41
bea sloboder,3,0.33
beth bosworth,2,0
betsy lerner,4,2.33
bill murphy,4,0.83
bill naughton,2,6.5
candas jane dorsey,4,2.92
carly bishop,3,3.58
carol devine,3,3.89
carrie randall,3,1.67
casey douglas,2,4.5
charlotte paul,5,0.5
cheryl willis hudson,2,5
chris rowthorn,6,5.03
christian jacq,57,2.84
christopher lowell,2,0
christopher mcgowan,4,7.25
christopher petit,2,3.6
clay coleman,3,0
connie rose porter,4,3.75
conrad richter,6,1.5
craig stinson,2,2
david barrett,2,0
david bishop,21,0.67
deborah chasman,2,4.5
deborah nixon,2,3
deirdre mcnamer,4,0.78
diana mcclun,2,7
donald d. davis,3,0
dutch sheets,4,4.63
echo heron,12,4.22
eileen hehl,5,1.8
elizabeth b. coker,2,0
erick wujcik,10,7.85
f. n. monjo,2,0
fernando alonso,2,3.5
fernando quiã±ones,2,2.5
florence parry heide,6,4.36
frances paige,2,0
francis macnutt,3,4.83
gabrielle lord,4,2.9
garry trudeau,2,6.33
gayle kasper,2,0
gerhart hauptmann,8,4.04
gill guile,4,1.5
gooseberry patch,6,0
heather allison,11,2.24
hermann broch,2,0
hunter s thompson,2,3.5
jack early,3,5.67
james magnuson,2,2.5
jan marino,4,0.75
jean lush,4,2.75
jean nash,2,0
jeffrey brown,2,0
jennifer sarasin,2,0
jens christian grondahl,2,0.67
joan jonker,2,0
joan price,2,6
joe franklin,2,0
joe starita,2,0.63
john ashbery,8,3.25
john bakeless,3,0
john gierach,3,4.33
john townsend,2,4.5
joseph f girzone,2,1.4
joseph schwartz,3,4.29
"judith, ph.d. sills",2,1.63
judy astley,9,3.97
julian,2,0
julie brinckloe,2,0
kenneth m. morris,4,1.63
kunihiko kasahara,3,6
lauren bach,3,5.75
laurie adams,3,4.56
lawrence david kusche,2,0
lawrence treat,3,6.67
lee k. abbott,3,1
leonard chang,2,6.5
leslie m. lecron,2,0
leslie pietrzyk,2,2.91
linda lewis,14,2.49
linda skidmore-roth,2,2.5
lisa angowski rogak shaw,2,4
loraine despres,3,5.14
louis proto,4,0
louisa luna,3,4.76
louise rafkin,9,2.89
lucy clare,4,2.17
lynda laplante,3,2.28
lynne mctaggart,4,5.75
maeve brennan,3,3.53
marcus grodi,2,0
marcus sedgwick,2,4
marcy froemke,2,3.5
margaret g. bigger,2,2.5
margaret wild,3,1.89
maria polushkin,3,6.67
mark p. o. morford,2,3.5
mark swadling,2,0
martha ramsey,2,0.9
martin delrio,3,0
maureen howard,7,3.65
maureen mccarthy,3,6.83
michael beer,2,1
michael bennett,2,4
michael c. eberhardt,3,0.81
miranda north,2,0
monique ellis,5,2.9
nick carter,9,0
omar khayyam,5,5.45
page lambert,2,0
pamela mcquade,2,4.5
patti kim,2,3.33
penelope love,2,5
philippa greene mulford,3,2.33
phillip w. keller,2,2.5
portugal,2,0
ralph g martin,2,1.75
randall kennedy,2,7.7
rebecca pawel,2,9.5
reinhold messner,4,0
richard a. lupoff,9,1.35
richard hays,2,0
richard holmes,5,2.4
rita boucher,2,0
robert aitken,4,6.88
robert clark,9,3.78
robert lawson,5,1.55
robert s. elegant,4,0
roberta wilson,2,2.5
rodney peppe,3,1.33
roger j. morneau,2,0
roy hemming,4,4
russell braddon,2,2
samuel chamberlain,2,2.5
shad helmstetter,4,2.23
sharon wegscheider-cruse,3,0
shawna delacorte,14,0.61
sheila haigh,3,6
sir thomas more,3,4.17
stephen mooser,14,0.49
suzy spencer,4,4.78
theo lesieg,2,1.67
thornton niven wilder,3,2.75
tim brookes,3,1.13
tomie depaola,27,3.15
toni l. p. kelner,6,1.27
vance havner,3,6
verena auffermann,2,2
virginia m. satir,2,1
william mayne,7,1.43
wolfgang kuhn,2,7.38
yang-may ooi,2,4
yukiru sugisaki,2,7
john-roger mcwilliams,2,2.55
a.w. gray,2,0
alan weisman,2,7.5
albert jackson,2,7.5
alf proysen,3,3
alistair maclean,61,1.5
alyce faye cleese,2,1
amy macdonald,5,2.9
andrei makine,12,3.66
andy behrman,2,4.42
anita brookner,50,2.39
anna maria sigmund,2,0.83
anne knowles,2,0.88
anne logan,4,1.67
anthony pagden,2,5
audean johnson,2,0
axel madsen,3,0.24
barbara betcherman,2,1.75
ben rice,2,7.08
bernie lee,3,2.11
brad barkley,2,4.25
bruce narramore,2,4
c.k. stead,2,1.75
catharine a. mackinnon,2,1.75
cecelia tishy,2,0
charla cameron,2,0
chris horrocks,2,1.75
clive king,3,4.67
cory doctorow,4,2.76
daniel schorr,2,0
dave hunt,5,3.63
david anthony durham,3,5.67
david fraser,6,2.25
david g. miller,3,4.11
david larkin,2,9
david mcrobbie,3,2.33
david niall wilson,4,2.81
debra st. claire,2,2.5
debra wasserman,4,8
diane mckinney-whetstone,6,4.23
diane zahler,2,3.75
docia schultz williams,2,0
donald sassoon,2,4.5
doris grumbach,7,4.89
e.v. cunningham,4,0
earlene fowler,23,2.81
edward bear,2,0
edward f. murphy,2,8
eleanor woods,2,0
ferran torrent,4,3.42
frank baldwin,3,3.92
frank e peretti,2,3.5
fred rogers,9,5.03
gary alexander,4,0
gita mehta,9,4.27
h. j. hutchins,2,2.5
hanif kureishi,24,4.43
harrison evans salisbury,5,5
heather mcgowan,2,1.33
heinrich robert zimmer,2,3.5
helen archery,3,0.56
jack brennan,3,0
jack moeller,4,4.5
jack trout,3,4.67
jake lamar,2,5
"james f., md. balch",2,4.9
james gelsey,29,1.99
james halliday,2,2.5
jane bell kiester,2,10
jean toomer,3,3.69
jeff koon,2,1.81
jen holling,5,1.77
jennifer wilde,9,1.22
jesãºs moncada,2,3
joan e. pickart,5,0
joan fuster,2,4.75
john lantigua,2,0
john szwed,2,0
john taylor gatto,4,1.78
juan jose benitez,8,5.06
julia spencer-fleming,5,5.45
kathryn meyrick,2,4.5
keith roberts,2,3.5
kenneth n. taylor,3,0
kensington ladies erotica society,2,1.5
kodansha international,3,6.67
kyle mills,13,2.61
laura abbot,11,2.52
laurent vicomte,4,9.25
leah feldon,3,2.33
lee williams,4,0
lily brett,11,3.24
lisa higdon,4,1
m. e. ensminger,3,10
marchette chute,2,3.5
marci mcgill,2,4
marshall jevons,2,0
martin mull,2,2.25
matt novak,5,4.4
melissa senate,3,3.15
michael levey,2,3.5
michelin staff,4,5.75
mike daisey,2,2.65
mike leonetti,3,7
mildred carter,7,1.62
miranda bruce-mitford,2,9.25
mitchell duneier,2,4.5
mouse works,36,2.54
muriel jenson,4,1.17
nadia nichols,3,1.71
najib mahfuz,3,0
nan pamer,2,7.5
oliver johnson,3,1.5
patricia a. mckillip,35,3.25
patrick leigh fermor,2,4.88
paul frederic bowles,2,5.67
peter jenkins,19,2.29
philip corso,2,3.07
phoebe gilman,5,3.6
richard bradford,2,3
richard woodman,5,1
robert o'brien,2,1.17
roger j. steiner,2,1.75
ronald j. sider,2,3.38
rosemary edghill,12,3.81
rosemary rogers,32,1.66
ruth francisco,2,8.5
scarlett thomas,4,5.5
sheila mccullagh,6,1.33
shelby foote,7,2.14
sidelines,6,2
sonya hartnett,4,0
stephen baker,5,3.86
stephen l slavin,2,0
susan mendonca,2,0
sylvia louise engdahl,3,5
tanmaya honervogt,2,3
tara ann mcfadden,2,1.67
thomas l. tedrow,9,1.44
tom brown,7,4.34
ved mehta,3,1.83
w. h auden,2,4
wil wheaton,2,2.25
william h. mcneill,4,3
william kennedy,11,1.07
x. malcolm,2,1.75
yashar kemal,3,2.33
yukito kishiro,5,7.6
yves meynard,2,3.5
"a. b., jr. guthrie",2,0
alan fields,2,4.5
albert harry goldman,2,0.5
alice gray,27,3.58
allen wier,2,0
anatoly shcharansky,2,4.5
andreas,2,0.21
anjana appachana,2,5
ann charters,7,4.89
anne edwards,20,2.3
anne marie forrest,2,3.25
arthur mather,2,0
bancroft,2,0
beverly daniel tatum,3,4
bill fleming,2,5
billie holiday,2,4.25
carole waterhouse,2,0.58
casey roberts,2,0
catherine lyndell,7,3.43
cecie starr,2,3
charles carlut,2,0
charles stross,4,3.58
charlotte graeber,3,1
chris stewart,7,2.81
colin bateman,9,2.58
connie briscoe,9,1.81
dalai lama xiv bstan-'dzin-rgya-mtsho,3,5.44
dan reynolds,2,0
darin strauss,3,4.36
dav pilkey,36,3.02
david crystal,12,4.25
david gibbon,2,5
david halberstam,28,2.73
david herter,2,6.5
david maraniss,8,0.58
david r. johnson,2,0
debra magpie earling,2,4.39
dee brestin,6,1.56
derek lambert,5,0.8
dick eastman,2,0
dirk wittenborn,2,3.17
dorothy leeds,5,0
dudley pope,11,1.27
e. t. randall,2,5
eduardo h. galeano,4,3.5
eleanor schick,2,2.5
elizabeth a. ryan,3,0.83
elizabeth dewberry vaughn,2,3.5
elizabeth king,2,4.5
elizabeth lane,12,1.16
elspeth huxley,4,2.25
felicitas hoppe,3,0
fiona harrowe,2,1.25
francine prose,14,2.76
frank bruni,3,2
frank g. slaughter,4,0.88
gareth morgan,4,1.75
gerald hausman,6,3.25
gery greer,6,0.42
gioconda belli,7,4.03
glenda sanders,10,1.08
gurcharan das,2,5.17
hans hellmut kirst,2,0
hans zinsser,2,1.25
"harry lee, jr. kraus",2,7.17
harvey b. mackay,2,1.5
hedrick smith,7,0
helen mccloy,2,4
henry adams,6,2.33
henry morton robinson,2,2.33
hildegard toma,2,4.5
howard m. shapiro,5,1.55
isak dinesen,26,2.85
ivars  peterson,3,3.33
james b. garfield,2,0
jana g. oliver,3,4
jane waterhouse,7,0.52
jay conrad levinson,7,4.38
jeanne ray,10,2.49
jenny arden,5,1
jeremy flint,2,0
jill henry,2,0.5
jim murphy,9,1.89
joanne barkan,22,2.85
john c. ryan,2,3.75
john n. maclean,2,3
john nichols,16,3.24
jonathan waterman,3,3.33
joseph bedier,2,4.78
joseph lanza,2,0
juliette clarke,4,3.88
karl rahner,2,10
karol wojtyla,3,5.67
katherine v forrest,2,2.5
kathleen ann goonan,9,2.78
keith r. a. decandido,2,0
kristen johnson ingram,3,0
kristine l. franklin,6,1.75
laura e. williams,6,0
laurie mcbain,7,2.23
lee durkee,2,1.63
leon edel,3,0
leonard michaels,7,1.07
ljudmila ulitzkaja,5,1.66
lovat dickson,2,4
lucy kincaid,3,0
lucy moore,2,0
lynn michaels,3,3.44
lynn turner,7,1.29
marguerite duras,52,4.12
marilyn singer,13,2.54
mary baker eddy,3,5.67
mary leonhardt,2,0
maryann macdonald,2,7
max apple,3,2.44
michael turner,3,3.67
mike dunn,4,0.63
miriam norton,2,9
myong-jin yi,4,8.23
nancy holmes,2,4.71
nat segaloff,2,2.5
nigel hawkes,2,2.5
norah labiner,2,1.33
oliverio girondo,2,5
olivier bleys,2,0
pat relf,3,3.5
patricia d. benke,2,1
patricia guiver,6,3.25
patrick gale,8,1.53
paul duncan,3,2.67
paula polk lillard,2,3
penelope williamson,12,2.18
peter block,2,3.5
peter nichols,6,2.11
peter washington,5,4.43
philip morrison,3,0.76
polly horvath,7,2
rainer crummenerl,2,5
ray smith,7,2.36
rita  lampkin,2,7.5
robin cohen,2,2.5
rosamond richardson,4,3.5
ruth montgomery,9,2.11
s. b. hough,2,0
sandy petersen,4,9.25
sarah turnbull,2,3.68
schulz m.,2,0
sean duffy,2,7
sharon shinn,18,4.86
singer bashev,2,0
stephanie faul,2,1.67
struan reid,2,0
stuart m kaminsky,3,3.27
susan pearson,5,1.6
t.m. mcnally,3,0
ted andrews,13,2.96
thomas hoobler,2,2.5
tim bogenn,2,8.25
tim f lahaye,3,0
tim underwood,7,3.05
tisha hamilton,32,0.31
tom alibrandi,2,4
ulla berkewicz,2,3.5
v. s naipaul,5,1.23
val davis,4,3.3
victoria london,2,0
walker & co,4,6.75
wilfried wieck,2,0.88
william mcgonagall,3,4.67
wishing well,6,1.17
alan vanneman,2,0.75
alanna nash,5,0.8
anna jennet,3,0
anne finger,2,6.5
annie mcknight,2,0
antonio gala,22,2.53
antã³nio lobo antunes,2,4
arlene dubanevich,6,2
arthur frommer,8,3.35
august strindberg,7,3.83
ben carson,3,6
beth saulnier,6,6.18
betty white,9,2.03
brenna lyons,3,6.67
brian fawcett,4,1.67
brian lowry,2,3.18
